GEOID,within_dfo,within_aer,sel_sa_tracts
48029141800,1,NA,1
48029170102,1,NA,1
48029130800,1,NA,1
48029190100,1,NA,1
48139061300,NA,NA,NA
48139061500,1,NA,1
48139061600,NA,NA,NA
48139061700,NA,NA,NA
48139060900,NA,NA,NA
48139061000,1,NA,1
48139060300,NA,NA,NA
48139060400,NA,NA,NA
48139061200,1,NA,1
48139061100,NA,NA,NA
48139060102,NA,NA,NA
48123970200,1,1,1
48123970300,1,1,1
48123970100,1,1,1
48123970500,1,1,1
48123970400,1,1,1
48127950200,NA,NA,NA
48131950100,1,NA,1
48131950200,1,NA,1
48041001605,1,1,1
48041001803,1,1,1
48029121110,1,NA,NA
48029121111,1,NA,1
48029121112,1,NA,1
48029110600,1,NA,1
48029110700,1,NA,1
48029110500,1,NA,1
48029121108,1,NA,1
48029120100,1,NA,1
48029120300,1,NA,1
48041002007,1,1,1
48041002008,1,1,1
48029121402,1,NA,1
48029121403,1,NA,1
48029121116,1,NA,1
48029121117,1,NA,1
48029121300,1,NA,1
48029141300,1,NA,1
48029181303,1,NA,1
48029182103,1,NA,1
48029130900,1,NA,1
48029181602,1,NA,1
48029160200,1,NA,1
48029130200,1,NA,1
48029190902,1,NA,1
48029182101,1,NA,1
48029980002,1,NA,1
48349970900,1,NA,1
48349970200,1,NA,1
48349970300,1,NA,1
48349970800,1,NA,1
48349970700,1,NA,1
48349970500,1,NA,1
48349970600,1,NA,1
48349970100,1,NA,1
48349970400,1,NA,1
48349971000,1,NA,1
48029111000,1,NA,1
48029980001,1,NA,1
48029181503,1,NA,1
48029121505,1,NA,1
48029121118,1,NA,1
48029120400,1,NA,1
48029120501,1,NA,1
48425000200,1,NA,1
48425000100,1,NA,1
48029140400,1,NA,1
48029152000,1,NA,1
48029151400,1,NA,1
48029131601,1,NA,1
48029160702,1,NA,1
48029121506,1,NA,1
48029161200,1,NA,1
48029162001,1,NA,1
48029171100,1,NA,1
48029171801,1,NA,1
48029182102,1,NA,1
48029191804,1,NA,NA
48029151900,1,NA,1
48029151500,1,NA,1
48029121205,1,NA,1
48029121804,1,NA,1
48029141900,1,NA,1
48029140600,1,NA,1
48029180202,1,NA,1
48029152100,1,NA,1
48029120502,1,NA,1
48029120600,1,NA,1
48029121203,1,NA,1
48029121204,1,NA,1
48029121206,1,NA,1
48029121115,1,NA,1
48039661100,1,1,1
48041001900,1,1,1
48041002001,1,1,1
48041000202,1,1,1
48039663300,1,1,1
48361020800,1,1,1
48453002110,1,1,1
48453002111,1,1,1
48213950200,1,NA,1
48213950400,1,NA,1
48213951000,1,NA,1
48213951100,1,NA,1
48213950800,1,NA,1
48213951400,1,NA,1
48213950700,1,NA,1
48213950500,1,NA,1
48213951300,1,NA,1
48213950300,1,NA,1
48213950100,1,NA,1
48213951200,1,NA,1
48355006300,1,1,1
48355006400,1,1,1
48453002105,1,1,1
48453002106,1,1,1
