fid,GEOID,NLCD16_WA,DFOfloodArea,DFOfRatio,within_dfo,within_aer,population,fldPopDFO,fldPopPctDFO,Shape_Area
302,48201350400,0,32875.33962,0.0123731,1,1,5976,9,0.001506024,2657000.986
303,48201350500,19239.83434,1553403.924,0.26709643,1,1,7420,737,0.099326146,5835131.632
304,48273020300,3533.153885,,,1,1,5830,0,0,6159039.691
305,48201420300,0,25967.27161,0.01083,1,1,3581,0,0,2397716.619
306,48201420500,149660.0517,1460665.498,0.669964969,1,1,3478,943,0.271132835,2329871.786
307,48201333300,0,729588.0743,0.105836958,1,1,10137,141,0.013909441,6893509.65
308,48201980000,0,685247.7929,0.121890016,1,1,9,0,0,5621853.37
309,48201333600,0,379875.8926,0.103841029,1,1,3743,249,0.066524178,3658244.8
310,48201333700,8055.694313,1696330.368,0.190181002,1,1,3105,147,0.047342995,8927613.23
311,48201410100,0,176479.8295,0.145004675,1,1,3949,0,0,1217062.972
312,48201410200,0,143487.3899,0.111049749,1,1,4803,0,0,1292100.074
313,48201410300,0,141611.138,0.137733191,1,1,2673,10,0.003741115,1028155.475
314,48201410500,0,,,1,1,4517,0,0,1096521.104
315,48201410600,0,,,1,1,3660,0,0,1007925.395
316,48201410800,0,,,1,1,4047,0,0,1026190.212
317,48201410900,0,,,1,1,2611,0,0,735674.4172
318,48201420600,0,185555.8916,0.154497519,1,1,2214,462,0.208672087,1201028.267
319,48201420700,0,4358.404484,0.001905203,1,1,3183,0,0,2287632.318
320,48201420900,0,,,1,1,6680,0,0,3463540.749
321,48201431700,24.08828717,,,1,1,4708,0,0,2964289.698
322,48201431900,1038.397247,66993.47241,0.052536462,1,1,3819,0,0,1276218.955
323,48201333800,138617.7572,2190643.959,0.256111413,1,1,9541,716,0.075044545,8692097.816
324,48473680400,6466.99086,,,1,1,12,0,0,4952395.495
325,48473680500,7168391.827,66580331.99,0.171916693,1,1,9097,169,0.018577553,394450920.8
326,48473680200,5420655.782,150455251.9,0.389038563,1,1,8758,1010,0.115323133,392156737
327,48473680300,1651489.075,28003410.66,0.101857223,1,1,9627,235,0.024410512,276579579.1
328,48473680100,248935.744,24950951.85,0.402084231,1,1,4758,1232,0.258932325,62302979.35
329,48473680600,998449.4264,2170504.539,0.0106054,1,1,7961,20,0.002512247,205658765.8
330,48201411000,0,,,1,1,5243,0,0,1448303.875
331,48201411100,0,,,1,1,3735,0,0,1340573.333
332,48201411200,4345.854534,228224.5695,0.06567286,1,1,1949,7,0.003591585,3479519.03
333,48201411300,0,,,1,1,3645,0,0,1430158.811
334,48201411400,0,,,1,1,2793,0,0,1724625.966
335,48201421000,0,7985.194902,0.004306782,1,1,2702,0,0,1854097.761
336,48201432100,0,194237.9665,0.121567138,1,1,5612,44,0.007840342,1597783.519
337,48201432200,0,,,1,1,4452,0,0,1668660.448
338,48201432300,0,,,1,1,7348,0,0,1745827.01
339,48201340100,12997.85634,2179409.715,0.259276867,1,1,6595,1201,0.182107657,8418721.771
340,48201521700,0,189042.4436,0.034547247,1,1,6488,25,0.003853268,5471997.233
341,48201521800,68975.16908,370414.5423,0.052287254,1,1,5032,402,0.079888712,7153197.394
342,48201521900,0,165165.3952,0.043377377,1,1,6274,154,0.024545744,3807639.133
343,48201522100,0,,,1,1,6618,0,0,2296801.413
344,48201530100,0,403040.8511,0.155187458,1,1,5615,517,0.0920748,2597122.663
345,48201530300,0,,,1,1,2166,0,0,1829661.433
346,48201454900,15834.6181,652752.2852,0.141663581,1,1,11644,754,0.06475438,4623598.363
347,48201455000,0,,,1,1,2769,0,0,1305297.099
348,48201530400,0,,,1,1,2206,0,0,1585574.109
349,48201530700,0,38363.14209,0.013806535,1,1,5426,0,0,2778622
350,48201455200,0,83395.15861,0.029982476,1,1,4054,6,0.00148002,2781463.357
351,48201455300,48461.81321,1136160.496,0.208868846,1,1,6848,677,0.098860981,5488049.842
352,48007950400,16621.75661,1126440.168,0.187191293,1,1,4221,818,0.19379294,6034210.342
353,48007950100,418990005,174259914.3,0.334016234,1,1,4506,1168,0.259209942,940700907.8
354,48007950200,17184420.25,1634272.837,0.529974639,1,1,1108,686,0.619133574,20268101.52
355,48007950500,74021058.95,64519482.02,0.437264502,1,1,6041,1970,0.32610495,221573583.5
356,48007950300,33674.60444,5317477.159,0.317196697,1,1,5827,1981,0.339969109,16797647.85
357,48201530800,0,,,1,1,3679,0,0,4584987.285
358,48201531500,0,107850.4214,0.056739774,1,1,2715,15,0.005524862,1900790.433
359,48201531600,0,,,1,1,3127,0,0,2368377.466
360,48201531700,0,,,1,1,3017,0,0,1855909.226
361,48201531800,0,,,1,1,2172,0,0,3247033.945
362,48201531900,0,123827.1401,0.028521117,1,1,4137,60,0.014503263,4341595.094
363,48201510100,0,36657.0464,0.024616411,1,1,2169,0,0,1489130.454
